x,y
826,1007
1816,975
1478,976
985,920
958,915
461,858
500,852
1743,837
1201,837
1347,835
1065,835
1032,835
888,830
1665,828
1771,826
1012,822
530,820
1303,820
631,817
601,816
1570,812
1267,812
1800,808
1662,807
1416,808
825,810
1466,808
1093,808
1902,807
557,807
1145,803
1855,803
920,797
1541,798
1231,796
1505,797
1301,791
1197,793
256,792
1723,792
336,790
1265,787
1367,785
1616,783
1883,780
1028,782
282,780
870,785
1060,780
398,771
165,773
1763,772
1338,775
1127,770
966,768
1812,766
1661,770
1462,766
1440,767
805,766
652,761
211,762
1702,762
1217,760
10,758
1412,758
1280,757
1858,755
1305,758
623,755
761,751
353,755
1585,752
1252,755
1163,752
927,751
286,751
1905,750
1490,751
447,747
1612,742
1197,743
1105,745
1556,746
133,748
93,737
831,736
1375,736
998,733
592,732
31,731
277,723
1611,726
66,730
658,722
532,722
171,721
1847,721
461,720
211,722
1543,717
1465,717
561,715
395,716
426,711
357,713
503,712
320,711
1250,712
1220,708
1438,707
1027,707
1876,706
1760,706
230,705
268,705
1668,703
118,701
1345,698
1091,700
1061,700
725,696
1642,696
761,696
1525,696
1790,693
1192,691
626,685
826,685
1700,678
1162,678
1130,677
1823,676
1731,676
1318,676
475,675
1502,675
637,665
855,663
1373,666
1440,658
1407,662
1626,655
1301,651
678,648
1478,648
1555,645
1847,646
1675,631
1573,623
1282,623
1527,623
593,622
671,620
1163,620
1252,616
1226,605
1728,603
1502,597
1461,597
463,593
611,591
1395,588
937,590
1592,587
1870,580
1808,582
1771,581
1633,577
1680,575
1442,573
1343,571
483,572
681,566
526,563
756,562
1278,561
640,557
1026,555
251,548
1132,545
1546,545
1397,540
1220,540
1710,537
1263,536
1867,535
417,532
382,531
1166,531
308,528
943,525
737,523
1491,521
353,523
1742,526
1193,522
256,518
1623,518
551,520
1306,516
658,516
1822,518
815,517
1037,513
465,513
1657,512
997,512
1795,508
1073,507
1897,507
497,507
1592,505
1835,497
853,500
776,498
1232,498
1121,495
1698,491
438,488
508,483
183,480
1507,478
650,477
700,476
598,478
141,476
1322,473
1770,472
356,468
1246,467
317,467
1383,468
551,466
1736,466
230,466
1542,463
878,462
397,461
273,456
250,455
802,451
1796,448
1467,448
1142,447
1687,440
1101,441
1600,440
1045,440
1076,437
1360,437
1260,435
1170,437
185,436
1218,433
1015,436
955,435
768,433
463,432
570,432
926,433
1891,431
1295,430
985,431
628,428
423,428
668,425
1426,428
1193,421
523,420
1645,418
1332,416
818,415
345,415
381,410
1751,405
901,407
738,405
470,402
318,402
1833,398
1682,395
841,396
603,395
868,392
1126,390
280,391
1552,387
1221,380
1053,377
715,380
570,380
1878,380
1591,375
416,376
1628,372
1373,371
1676,366
926,365
815,361
481,363
450,361
1028,356
508,358
1796,357
1751,356
1403,358
976,355
780,356
1706,353
1251,351
1168,350
1505,350
1340,346
1542,340
1442,341
1285,340
840,340
1853,338
346,340
383,341
717,333
565,335
843,330
431,331
875,330
1312,328
1475,328
803,325
1103,321
1823,320
1213,320
1141,320
1582,317
1902,310
900,310
535,312
668,306
1386,306
1078,298
971,300
467,298
1253,295
626,296
1802,293
1540,290
1335,290
1357,287
510,290
1022,288
1171,288
1665,285
1712,281
1050,280
1856,276
1472,276
1375,273
1630,280
1408,272
1603,275
1216,268
1753,273
855,268
1335,265
820,267
1793,263
1362,263
1255,262
783,263
750,262
1881,256
1598,248
945,250
1450,245
1583,242
1127,243
1516,245
1040,241
725,242
1812,241
1402,240
1227,236
1166,233
896,235
1662,233
1547,236
1062,233
1286,230
1895,225
1728,227
1002,225
1091,223
1441,216
1250,215
1348,212
1697,208
1401,211
1710,201
1570,203
1203,200
831,200
1802,198
1837,192
1471,195
1320,187
1263,188
1913,178
1695,183
1503,182
1590,182
1616,171
1380,168
1887,168
1127,165
1740,163
1408,162
1670,162
1773,152
1863,140
1812,135
1386,128
1632,116
