x,y
2303,2724
1134,2648
2320,2563
2441,2554
1116,2373
1714,2370
1093,2241
1186,2074
1268,1983
2007,1959
1617,1763
1989,1754
1043,1751
1301,1743
984,1728
2042,1728
1775,1719
1424,1716
1497,1713
1204,1708
1728,1702
928,1696
1330,1693
1822,1693
1597,1693
1178,1681
1942,1678
1556,1678
1435,1666
1251,1672
1670,1678
2112,1664
2060,1661
1708,1658
2159,1655
2200,1652
1866,1652
2001,1649
2326,1646
1978,1631
1635,1637
2435,1634
826,1634
1512,1620
1292,1620
2253,1617
1893,1602
1623,1602
1473,1605
1928,1599
1702,1590
1084,1593
2323,1587
1573,1584
2098,1582
1802,1584
1661,1579
1743,1576
2150,1573
2033,1573
2215,1573
1347,1570
1711,1543
1386,1546
843,1543
1430,1538
1183,1538
964,1541
1063,1529
1312,1529
1980,1526
2083,1520
1922,1514
1471,1511
1558,1505
902,1479
1136,1479
961,1473
1239,1467
1087,1464
1049,1461
1022,1447
1295,1441
884,1435
779,1435
1198,1435
1345,1429
1406,1420
1163,1417
1257,1412
1441,1412
1576,1394
1362,1397
846,1397
1479,1391
1098,1388
958,1376
1743,1374
893,1379
1031,1371
1298,1368
1242,1362
1210,1347
1602,1344
1506,1347
1394,1347
1641,1341
1541,1335
1684,1333
1142,1335
1298,1327
905,1324
1720,1321
981,1318
1195,1309
1347,1312
1561,1303
1043,1294
1494,1300
1403,1294
1453,1286
1430,1280
1289,1271
1219,1271
1139,1283
1746,1271
1673,1271
1321,1265
1471,1253
1837,1253
1711,1253
1576,1256
1623,1242
1347,1236
1661,1248
1277,1230
1210,1227
1708,1215
1541,1215
1391,1204
1350,1204
1438,1201
1726,1195
1239,1195
1131,1186
1641,1186
1611,1177
1304,1177
1687,1174
1479,1174
1013,1163
1163,1166
1614,1142
1567,1136
1731,1127
1567,1113
