x,y
1163,2036
961,2027
1107,2006
3771,1974
1432,1965
1330,1945
1207,1942
3378,1942
2273,1930
2194,1877
1749,1877
1500,1869
1444,1866
2394,1860
2458,1842
1658,1842
1526,1839
2291,1836
3657,1828
2083,1828
2534,1828
978,1828
1819,1825
1427,1822
2250,1819
2024,1819
811,1816
2798,1810
2736,1816
2628,1816
1172,1816
3501,1813
3328,1813
2575,1813
3449,1804
2142,1810
1136,1813
647,1807
2353,1807
1295,1804
1063,1804
2194,1801
1764,1804
2906,1798
1239,1798
3024,1795
2675,1795
1535,1795
3378,1795
3282,1795
3068,1790
1699,1790
1614,1790
1107,1790
3519,1787
2974,1787
2836,1787
2106,1787
1813,1784
1579,1787
1391,1787
928,1787
2939,1787
823,1781
3665,1781
747,1778
1907,1778
624,1775
2745,1772
2443,1775
3566,1775
2786,1772
2042,1769
577,1772
2701,1769
2564,1766
2294,1769
2007,1766
785,1766
527,1769
3598,1766
3229,1766
2256,1766
1869,1769
1224,1769
996,1766
3695,1763
3185,1763
2865,1763
2159,1760
1828,1763
1494,1763
2411,1760
3750,1757
3132,1757
2672,1751
1383,1757
1315,1754
709,1757
2326,1754
1453,1754
1060,1754
3088,1754
2197,1751
3507,1749
750,1746
3015,1743
2487,1746
1638,1746
849,1746
3460,1743
2543,1743
1547,1743
3369,1737
2909,1740
668,1734
2238,1734
1957,1737
802,1734
3410,1731
2382,1731
890,1728
1687,1725
2347,1722
1731,1710
2159,1705
2101,1699
1998,1690
1875,1684
1682,1681
2045,1681
3079,1672
1904,1661
2060,1655
2089,1649
1951,1655
1667,1655
2397,1652
2139,1649
1849,1646
3053,1646
1805,1646
1764,1646
1731,1643
1295,1640
3012,1637
2438,1643
2042,1634
2294,1640
1421,1637
1391,1637
1564,1637
2215,1631
1708,1631
1602,1631
1330,1625
2965,1628
2479,1628
1356,1631
1898,1623
1649,1625
964,1623
2819,1623
2587,1623
1450,1623
1145,1620
800,1620
2555,1620
2332,1623
2136,1620
2177,1617
1280,1614
2388,1611
2880,1611
2526,1614
1767,1608
2924,1608
2619,1608
2265,1614
1239,1608
2778,1605
2364,1605
1822,1602
1702,1605
2106,1602
2024,1602
1863,1599
1576,1599
2423,1599
1966,1596
2643,1590
1901,1584
1769,1584
1731,1561
2013,1546
2077,1535
1875,1532
1512,1532
1960,1529
2183,1523
2232,1517
1623,1520
2382,1517
2309,1517
1720,1517
1679,1511
2347,1505
2279,1508
2027,1508
2071,1508
1916,1508
1790,1508
2115,1505
1594,1511
1986,1497
1561,1500
1813,1497
2139,1491
1755,1500
1957,1485
1840,1485
2063,1482
1934,1482
1544,1476
1898,1485
1737,1476
1664,1476
2027,1473
1866,1470
2168,1479
1825,1464
1714,1461
1617,1464
2054,1456
2127,1456
2095,1453
1790,1458
2016,1458
1978,1447
1673,1441
